"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"9698",2013,6361,"Semi-Auto",53141,"Petrol",145,47.9,1.6,23.8187462765308
"15724",2019,15500,"Manual",10000,"Petrol",145,60.1,1,29.4378748921932
"5780",2015,8010,"Manual",35614,"Petrol",0,65.7,1,25.1784206346123
"10637",2016,17495,"Manual",37000,"Diesel",125,56.5,2,30.2819673472384
"5807",2017,10190,"Manual",36333,"Diesel",145,64.2,1.5,26.6668482674465
"5400",2017,9295,"Manual",22414,"Petrol",160,44.8,1.5,26.0899399464445
"8833",2018,12750,"Manual",7026,"Petrol",145,65.7,1,28.1186054466583
"3716",2018,13750,"Manual",13000,"Petrol",145,58.9,1,28.6225419386305
"9931",2019,13995,"Manual",24022,"Diesel",145,58.9,1.5,28.7415154899612
"3529",2016,16798,"Manual",19406,"Diesel",125,56.5,2,29.996250758689
"5588",2016,8820,"Manual",31927,"Petrol",0,65.7,1,25.7654818464898
"14694",2012,3899,"Manual",126000,"Diesel",125,56.5,2,21.1312780677967
"13904",2016,9695,"Manual",10218,"Diesel",30,64.2,1.5,26.3530335379764
"7539",2019,22470,"Automatic",6511,"Diesel",145,42.2,2,32.0928854905262
"17221",2016,9295,"Manual",10092,"Petrol",0,65.7,1,26.0899399464445
"8984",2017,6977,"Manual",33440,"Petrol",145,57.7,1.2,24.3564643727076
"12577",2015,7791,"Manual",32388,"Petrol",20,61.4,1,25.0115651537838
"5660",2014,6700,"Manual",52855,"Diesel",20,67.3,1.6,24.1195704884508
"15587",2018,12500,"Manual",16936,"Petrol",145,62.8,1,27.9876977693224
"8783",2016,18700,"Manual",21476,"Diesel",205,47.9,2,30.7551270556997
"803",2017,12698,"Manual",13588,"Diesel",0,74.3,1.5,28.0915468760751
"1484",2015,12151,"Manual",28039,"Diesel",30,62.8,2,27.8014021324121
"114",2016,10995,"Manual",30923,"Diesel",0,74.3,1.5,27.152078318669
"13282",2018,10250,"Manual",14697,"Petrol",150,65.7,1,26.7040524213163
"9210",2013,6495,"Manual",58110,"Diesel",20,67.3,1.6,23.9391543002333
"3086",2016,8290,"Manual",18500,"Petrol",125,54.3,1.2,25.3865161421462
"3912",2017,9997,"Manual",29942,"Petrol",145,61.4,1,26.5459741247907
"5007",2018,12495,"Manual",34000,"Petrol",145,54.3,1,27.9850583311569
"6555",2016,10030,"Automatic",17334,"Diesel",30,58.9,1.5,26.56677327068
"2047",2015,7998,"Manual",61904,"Diesel",0,74.3,1.5,25.1693729877646
"11658",2019,17299,"Manual",5013,"Petrol",145,60.1,1,30.2025564892917
"2175",2019,18395,"Manual",10568,"Diesel",145,54.3,1.5,30.6377242212741
"5102",2015,6998,"Manual",30518,"Petrol",125,54.3,1.2,24.3741150783915
"933",2017,11700,"Manual",18524,"Petrol",20,60.1,1,27.5542111987305
"8715",2018,11695,"Manual",12874,"Petrol",150,65.7,1,27.5514283117691
"3579",2018,15490,"Manual",10708,"Petrol",145,54.3,1,29.4334301482541
"8268",2017,9499,"Manual",12914,"Petrol",125,54.3,1.2,26.2252253891239
"3602",2018,11491,"Manual",7652,"Petrol",150,65.7,1,27.437066357623
"4226",2017,10750,"Manual",17815,"Petrol",150,52.3,1,27.0074958008424
"1217",2019,19698,"Manual",95,"Diesel",145,54.3,1.5,31.1288743736727
"13771",2016,15393,"Automatic",10969,"Petrol",235,38.2,2,29.3901965707734
"2890",2020,20990,"Manual",2459,"Petrol",150,50.4,1,31.5908494820538
"10878",2016,10199,"Manual",18606,"Petrol",20,62.8,1,26.6724400437017
"4246",2015,10795,"Manual",21529,"Petrol",145,47.9,1.6,27.0342480170864
"17322",2017,9295,"Manual",1000,"Petrol",145,55.4,1,26.0899399464445
"8038",2018,17700,"Manual",16616,"Diesel",145,60.1,2,30.3642667376158
"21",2018,9499,"Manual",20400,"Petrol",145,55.4,1.1,26.2252253891239
"9901",2018,7695,"Manual",30495,"Petrol",145,57.7,1.2,24.9372379437665
"784",2016,6998,"Manual",49010,"Diesel",0,78.5,1.5,24.3741150783915
"9116",2018,11495,"Manual",19583,"Petrol",145,65.7,1,27.4393243021558
"17818",2017,17000,"Manual",19900,"Petrol",145,45.6,1.5,30.0800164713895
"7694",2017,10200,"Manual",7417,"Diesel",145,64.2,1.5,26.6730611084716
"10798",2017,10499,"Manual",17221,"Petrol",20,62.8,1,26.8566123997449
"10224",2018,16222,"Manual",17036,"Diesel",145,60.1,2,29.7528866407784
"12537",2014,7600,"Manual",21884,"Petrol",30,57.7,1,24.8629510775759
"3493",2019,19800,"Manual",11000,"Diesel",145,47.9,2,31.1662135539108
"12922",2018,11170,"Manual",10442,"Petrol",145,58.9,1,27.2537814569393
"9292",2017,9390,"Manual",25710,"Petrol",20,62.8,1,26.1532329658786
"8546",2016,8695,"Manual",32346,"Petrol",0,65.7,1,25.6777795016201
"7150",2019,11495,"Manual",9973,"Petrol",145,58.9,1,27.4393243021558
"13920",2018,17995,"Semi-Auto",23836,"Diesel",145,52.3,2,30.4813695223339
"17920",2018,13499,"Manual",13503,"Petrol",145,58.9,1,28.4988828313106
"11367",2014,8999,"Manual",31335,"Diesel",20,67.3,1.6,25.8893560524704
"4537",2018,9999,"Manual",4997,"Petrol",145,64.2,1.1,26.5472362414254
"9546",2019,23500,"Automatic",2444,"Petrol",145,29.1,1.5,32.4268758686565
"6981",2017,13600,"Manual",19996,"Petrol",150,55.4,1,28.548861445089
"6906",2017,13698,"Manual",35832,"Diesel",125,60.1,2,28.5970725130546
"12873",2013,7000,"Manual",23387,"Petrol",0,65.7,1,24.3757938870598
"17233",2012,7795,"Manual",22789,"Petrol",30,55.4,1,25.0146461861259
"17235",2018,12295,"Manual",16136,"Petrol",145,60.1,1,27.8787812654202
"8667",2016,9990,"Semi-Auto",32618,"Diesel",0,74.3,1.5,26.5415551252201
"8622",2018,6990,"Manual",15472,"Petrol",145,57.7,1.2,24.3673960029291
"1064",2018,11810,"Manual",17330,"Petrol",145,51.4,1.5,27.6151953326132
"3756",2018,10999,"Manual",5918,"Petrol",145,55.4,1.1,27.1544173746434
"8222",2015,9799,"Semi-Auto",65000,"Diesel",150,52.3,2,26.4200126727502
"1223",2014,8367,"Manual",36300,"Petrol",30,55.4,1,25.4427553921598
"6339",2017,10395,"Manual",17854,"Petrol",150,65.7,1,26.7932483908978
"7636",2017,15591,"Manual",30312,"Diesel",20,67.3,2,29.478216994755
"38",2019,21378,"Manual",3259,"Diesel",145,39.2,2,31.7251365195997
